id,lat,lon,name
316,19.391056,-99.1712,316 SAN FRANCISCO-CONCEPCIÓN BEISTEGUI
317,19.391456,-99.166157,317 AVENIDA COYOACÁN-TORRES ADALID
318,19.392249,-99.164127,318 LUZ SAVIÑÓN-AMORES
319,19.391991,-99.162684,319 DIAGONAL SAN ANTONIO-LUZ SAVIÑON
320,19.391323,-99.15936,320 ENRIQUE RÉBSAMEN-LUZ SAVIÑON
321,19.389477,-99.157513,321 TORRES ADALID-ANAXÁGORAS
322,19.388528,-99.160616,322 HERIBERTO FRÍAS-CONCEPCIÓN BEISTEGUI
323,19.389026,-99.163403,323 CONCEPCIÓN BEISTEGUI-GABRIEL MANCERA
324,19.3872468,-99.1656554,324 AMORES-AVENIDA EUGENIA
325,19.3881779,-99.1696894,325 PROVIDENCIA -AVENIDA DEL VALLE
326,19.388978,-99.174811,326 EUGENIA-NEBRASKA
327,19.38885,-99.17772,E327 GEORGIA -PENNSYLVANIA
328,19.392586,-99.184742,328 AVENIDA 1-CALLE 7
329,19.390306,-99.184812,329 CALLE 13-AVENIDA 1
330,19.389358,-99.182606,330 CALLE 15-AVENIDA PATRIOTISMO
331,19.388547,-99.183971,331 AVENIDA 2-CALLE 17
332,19.385508,-99.183809,332 SUR DE CALLE 27-AVENIDA 3
333,19.387624,-99.180978,333 GEORGIA -CAROLINA
334,19.386568,-99.175089,334 NUEVA YORK-AV. INSURGENTES
335,19.387003,-99.173504,335 MAGDALENA-AMEYALCO
336,19.385531,-99.169673,336 SAN BORJA-CDA. BARTOLOCHE
337,19.384849,-99.16704,337 SAN BORJA-MARTÍN MENLALDE
338,19.384249,-99.163273,338 NICOLAS SAN JUAN-SAN BORJA
339,19.386032,-99.160548,339 ENRIQUE RÉBSAMEN-AVENIDA EUGENIA
340,19.385571,-99.158188,340 ANAXÁGORAS-AVENIDA EUGENIA
341,19.382851,-99.158204,341 SAN BORJA-AVENIDA CUAUHTEMOC
342,19.381076,-99.159455,342 ANAXÁGORAS-ANGEL URRAZA EJE 6 SUR
343,19.384099,-99.160826,343 ENRIQUE RÉBSAMEN-DIVISIÓN DEL NORTE
344,19.382107,-99.162243,344 HERIBERTO FRÍAS-ANGEL URRAZA EJE 6 SUR
345,19.384498,-99.172223,345 MIRAFLORES-PATRICIO SANZ
346,19.385019,-99.174077,346 SAN FRANCISCO-SANTA MARGARITA
347,19.384378,-99.176097,347 PENNSYLVANIA-MAXIMINO AVILA CAMACHO
348,19.385365,-99.178216,348 INDIANA-AVENIDA SAN ANTONIO
349,19.385688,-99.180857,349 AUGUSTO RODIN-AVENIDA SAN ANTONIO
350,19.384062,-99.181482,350 JOSE CLEMENTE OROZCO-CORREGGIO
351,19.385751,-99.186297,351 CALLE 27-AVENIDA REVOLUCIÓN
352,19.384114,-99.185447,352 TINTORETO-GIORGINE
353,19.382168,-99.178808,353 CAROLINA-HOLBEIN
354,19.381665,-99.176685,354 BOSTON-AV. INSURGENTES
355,19.38205,-99.173291,355 CALIFORNIA-SACRAMENTO
356,19.381292,-99.170171,356 MATIAS ROMERO -ADOLFO PRIETO
357,19.380598,-99.1669248,357 MATIAS ROMERO -AMORES
358,19.380168,-99.164222,358 NICOLAS SAN JUAN-MATIAS ROMERO 
359,19.379269,-99.161169,359 MATIAS ROMERO -PESTALLOZZI
360,19.3790279,-99.1628259,E360 HERIBERTO FRÍAS-MATIAS ROMERO
361,19.380709,-99.17508,361 PORFIRIO DÍAZ-CAPULÍN
362,19.382207,-99.181043,362 AUGUSTO RODIN-ALBERTO BALDERAS
363,19.380813,-99.183851,363 HOLBEIN-PAULO UCELLO
364,19.383063,-99.185858,364 BOTICHELLI-CDA. DE GIORGONE
